"","Código","Nome","Latitude","Longitude"
"","430300403A","Vila Jardim Tordesmade Cordilheira","-30.27","-52.8673"
"","430300402A","Capané","-30.256","-52.8021"
"","430300401A","Comunidade Três Vendas","-29.8908","-53.0043"
"","430280801A","BR290","-30.33862","-53.27022"
"","430235201A","Centro","-29.489","-51.356"
"","430130501A","Centro","-32.238669","-53.085622"
"","430120601A","Taboazinho","-29.33448","-53.0845"
"","430060404A","Americana","-29.995","-51.081"
"","430060403A","Pirati","-30.023","-51.051"
"","430060402A","Jardim Algarve","-30.03555","-51.07962"
"","430060401A","Vila Tupã","-29.993","-51.066"
"","430057001A","Alto Feliz","-29.38202","-51.31758"
"","430040602A","Centro","-29.788379","-55.794184"
"","430040601A","Ibirapuitã","-29.78926","-55.76866"
"","430005901A","Centro","-28.176","-52.034"
"","421970501A","Defesa Civil","-26.95455","-52.52973"
"","421950701A","Linha Barro Preto","-26.8394","-52.4117"
"","421940801A","Vila Nova","-26.918","-49.788"
"","421930904A","Rio das Pedras","-27.00514","-51.0703"
"","421930903A","Aeroporto","-27.00089","-51.14152"
"","421930902A","Oficina da Prefeitura","-27.02053","-51.14116"
"","421930901A","Floresta","-27.00377","-51.16095"
"","421920003A","Rio das Pacas","-27.409","-49.463"
"","421920002A","Centro","-27.391","-49.362"
"","421890503A","Esquina","-27.991","-49.588"
"","421890502A","Centro","-28.014","-49.595"
"","421890501A","Centro","-28.016","-49.596"
"","421880601A","Turvo 01","-28.92801","-49.67958"
"","421870702A","São Martinho","-28.4444","-49.01939"
"","421860801A","Centro","-27.300619","-49.791784"
"","421830101A","Defesa Civil","-26.13026","-50.30978"
"","421825101A","Boa Vista","-26.61264","-50.67652"
"","421820206A","Martinho Stein","-26.83","-49.287"
"","421820205A","Vila Gemer","-26.842","-49.253"
"","421820204A","Tiroleses","-26.799","-49.299"
"","421820202A","Pomerodes","-26.816","-49.251"
"","421820201A","Bairro das Nações","-26.806","-49.268"
"","421810301A","Centro","-28.8312","-49.85072"
"","421800402A","CREAS","-27.238","-48.6427"
"","421800401A","Porto do Itinga","-27.28061","-48.70088"
"","421790701A","Centro","-27.10531","-51.24585"
"","421780802A","Margem Esquerda","-27.157","-50.037"
"","421780801A","Santo Antonio","-27.067","-50.034"
"","421770903A","Nova Guarita","-29.0692","-49.6267"
"","421770902A","Prefeitura Municipal","-29.11587","-49.63667"
"","421770901A","Garuva de Cima","-29.04585","-49.71132"
"","421750102A","São Rafael","-27.08402","-52.28532"
"","421740205A","Centro2","-26.412","-49.077"
"","421740204A","Rua Cândido Tomaselli","-26.386","-49.06"
"","421740203A","Centro","-26.392","-49.09"
"","421725301A","Centro","-27.56629","-48.8035"
"","421720401A","São Luiz","-26.73799","-53.52583"
"","421710501A","Garagem da Prefeitura","-28.16515","-48.98225"
"","421680001A","Prefeitura Municipal","-27.65962","-50.57888"
"","421670101A","São Cristovão","-26.45164","-53.50752"
"","421660210A","Fazenda Santo Antônio","-27.618","-48.642"
"","421660209A","Rua Francisco Ignácio","-27.561","-48.673"
"","421660207A","Serraria","-27.546","-48.643"
"","421660205A","Campinas","-27.594","-48.607"
"","421660204A","Distrito Industrial","-27.614","-48.654"
"","421660203A","Areias","-27.559","-48.631"
"","421660202A","Vila Formosa","-27.583","-48.681"
"","421640401A","Centro","-29.22411","-49.80934"
"","421630504A","Rua Moacir Marques","-27.265","-48.834"
"","421630503A","Fernandes","-27.314","-48.851"
"","421630502A","Rua Tiburcio Bozzano","-27.284","-48.853"
"","421630501A","Centro","-27.27716","-48.85201"
"","421620603A","Praia do Ervino","-26.38688","-48.5885"
"","421620602A","Enseada","-26.22188","-48.50107"
"","421620601A","Centro","-26.2426","-48.6385"
"","421610701A","Centro","-26.55964","-52.53216"
"","421580201A","Colonial","-26.229","-49.41"
"","421570301A","Caldas Imperatriz","-27.71627","-48.80865"
"","421567902A","UBS Centro","-26.77489","-50.00846"
"","421567901A","Rio da Anta","-26.65671","-49.99276"
"","421565301A","Vila Nova","-29.09768","-49.81655"
"","421560402A","Santa Bárbara","-27.9857","-49.2853"
"","421560401A","Prefeitura Municipal","-28.0383","-49.1278"
"","421530704A","Ribeirão Cipriano","-26.9991","-50.05146"
"","421530703A","CEI Primeiros Passos","-26.97143","-50.00102"
"","421530701A","Estrada Geral Rio Wildy","-26.89216","-49.99184"
"","421510904A","Centro","-26.924","-49.369"
"","421510903A","Rodeio 12","-26.846","-49.326"
"","421510901A","BR 470","-26.952","-49.353"
"","421505901A","Rio do Tigre","-27.8941","-49.74887"
"","421500002A","Alegre","-26.261","-49.509"
"","421500001A","Industrial Norte","-26.229","-49.496"
"","421490402A","Prefeitura Municipal","-28.04433","-49.28515"
"","421490401A","Centro","-28.136","-49.108"
"","421480506A","Santana","-27.223","-49.627"
"","421480505A","Santa Rita","-27.176","-49.604"
"","421480504A","Fundo Canoas","-27.198","-49.674"
"","421480503A","Itoupava","-27.177","-49.64"
"","421460701A","Centro","-27.19567","-49.79585"
"","421450802A","Ribeirão Carneiro","-26.942","-50.194"
"","421450801A","Rio da Prata","-26.821","-50.011"
"","421430001A","RanchoQueimado01","-27.6782","-49.04174"
"","421420102A","Interior","-26.68023","-52.74678"
"","421420101A","Centro","-26.72645","-52.71834"
"","421410201A","Prefeitura Municipal","-27.27812","-49.39028"
"","421400303A","Jardim Otilene","-27.043","-49.617"
"","421400302A","Rua Caminho Pinheiro","-27.024","-49.635"
"","421400301A","Est. Tifa da Pimenta","-27.073","-49.678"
"","421380703A","Centro","-29.195","-49.963"
"","421380702A","Cachoeira de Fatima","-29.14258","-49.89252"
"","421360902A","Centro","-26.236529","-51.084179"
"","421350001A","Centro","-27.15488","-48.54205"
"","421340101A","Baía Alta","-26.85814","-52.03214"
"","421335101A","Centro","-27.156","-50.467"
"","421330202A","Centro","-27.481593","-50.380142"
"","421320308A","Rua Frederic Blanck","-26.723","-49.182"
"","421320307A","Centro","-26.742","-49.174"
"","421320306A","Testo Central Alto","-26.774","-49.163"
"","421320304A","Wunderwald","-26.73","-49.142"
"","421320303A","Rega","-26.76697","-49.17691"
"","421320302A","Rega2","-26.66602","-49.15249"
"","421320301A","Ribeirão Herdt","-26.767","-49.177"
"","421280901A","Itacolomi","-26.735","-48.694"
"","421270001A","Prefeitura Municipal","-27.53274","-49.69894"
"","421250201A","Penha 01","-26.77475","-48.65118"
"","421220502A","Nova Cultura","-26.6898","-50.14341"
"","421220501A","Lagoa Seca","-26.41128","-50.14322"
"","421210601A","Prefeitura Municipal","-27.06812","-53.15862"
"","421190005A","Pinheira","-27.887418","-48.585601"
"","421190004A","Arirú","-27.67986","-48.69472"
"","421190003A","Praia de Fora","-27.73015","-48.6398"
"","421190002A","Ponte do Imaruim","-27.63478","-48.64643"
"","421190001A","Pagani","-27.64086","-48.67921"
"","421175101A","Prefeitura Municipal","-27.48299","-50.1188"
"","421170202A","Três Barras","-28.2156","-49.45675"
"","421170201A","Centro","-28.3574","-49.2908"
"","421150402A","Trinta Réis","-27.297","-48.947"
"","421150401A","Centro","-27.286","-48.928"
"","421130604A","Gravatá","-26.835","-48.63"
"","421130602A","São Domingos","-26.88","-48.661"
"","421130601A","Porto Escalvado","-26.793","-48.759"
"","421125601A","Morro Grande","-28.80268","-49.71978"
"","421120701A","Monte Verde","-28.65704","-49.21527"
"","421110801A","Bairro Novo","-26.45387","-50.23787"
"","421100901A","Prefeitura Municipal","-27.10304","-53.39507"
"","421085202A","Volta Grande","-27.192","-50.177"
"","421085201A","Pinhalzinho","-27.213","-50.122"
"","421080301A","Centro","-28.82794","-49.63469"
"","421060501A","Massarandubinha","-26.6081","-48.8948"
"","421050601A","Centro Adm. Municipal","-26.76057","-53.17418"
"","421040701A","Centro","-28.84704","-49.45364"
"","421010001A","Centro","-26.114","-49.806"
"","421000105A","Braço Serafim","-26.766","-48.987"
"","421000104A","Braço do Francês","-26.767","-48.963"
"","421000103A","Alto Canoas","-26.67","-48.845"
"","421000101A","Vila do Salto","-26.695","-48.904"
"","420985401A","Prefeitura Municipal","-27.05239","-52.08314"
"","420980501A","Prefeitura Municipal","-27.50424","-49.28839"
"","420940905A","Campos Verdes","-28.52268","-48.8114"
"","420940904A","Mar Grosso","-28.49195","-48.77085"
"","420940903A","Bananal","-28.433452","-48.850601"
"","420940902A","Ribeirão Pequeno","-28.482491","-48.883162"
"","420930006A","Morro do Pandolfo","-27.81348","-50.37122"
"","420930005A","São Miguel","-27.816","-50.283"
"","420930004A","Santa Catarina","-27.841","-50.346"
"","420930003A","São Sebastião","-27.788","-50.293"
"","420930002A","Centro","-27.816","-50.327"
"","420930001A","Coral","-27.807","-50.305"
"","420915104A","Centro","-26.964653","-49.621818"
"","420910208A","Nova Brasília","-26.3309","-48.875"
"","420910207A","Costa e Silva","-26.279","-48.865"
"","420910206A","Centro","-26.301","-48.841"
"","420910205A","Estrada Geral Salto I","-26.296","-48.988"
"","420910204A","Iririu","-26.273","-48.828"
"","420910203A","Aventureiro","-26.249","-48.797"
"","420910202A","Paranaguamirim","-26.347","-48.781"
"","420910201A","Itinga","-26.383","-48.82"
"","420900301A","N. S. de Lourdes","-27.18104","-51.51372"
"","420890607A","SAMAE Agua Verde","-26.47651","-49.10422"
"","420890606A","SAMAE Ilha da Figueira","-26.48459","-49.04547"
"","420890605A","Barra do Rio Cerro","-26.51601","-49.12951"
"","420890604A","Corpo de Bombeiros Voluntários","-26.42641","-49.07919"
"","420890603A","Bombeiro de Nereu Ramos","-26.4548","-49.1663"
"","420890602A","Defesa Civil","-26.5051","-49.0896"
"","420890601A","Bombeiro do Centro","-26.4799","-49.082"
"","420870801A","Centro","-28.99982","-49.75406"
"","420850005A","Bela Vista","-27.447","-49.502"
"","420850004A","Gruta","-27.423","-49.606"
"","420850003A","Gabiroba","-27.417","-49.583"
"","420850002A","Centro - Prefeitura","-27.415","-49.599"
"","420850001A","Centro","-27.414","-49.605"
"","420845001A","Itapoá Terminais Portuários","-26.18108","-48.60197"
"","420840101A","Prefeitura Municipal","-27.17259","-53.71102"
"","420830205A","Ilhota","-27.06","-48.602"
"","420830204A","Alto São Bento","-27.085","-48.618"
"","420830203A","Praia Mar","-27.116","-48.616"
"","420830202A","Estrada Geral do Sertão","-27.143","-48.65"
"","420830201A","Morretes","-27.133","-48.61"
"","420820316A","Barra do Rio","-26.894","-48.688"
"","420820315A","Fazenda","-26.919","-48.668"
"","420820314A","Rua Orlandina Amalia","-26.871","-48.699"
"","420820313A","Fazenda2","-26.921","-48.655"
"","420820312A","Itaipava","-26.94","-48.747"
"","420820311A","São Roque","-26.911","-48.719"
"","420820310A","Baía","-26.968","-48.749"
"","420820309A","Carvalho","-26.925","-48.686"
"","420820308A","Rio do Meio","-26.954","-48.709"
"","420820307A","Brilhante II","-27.031","-48.801"
"","420820306A","São Judas","-26.909","-48.677"
"","420820305A","Fazenda","-26.927","-48.649"
"","420820304A","Centro","-26.91","-48.653"
"","420820303A","Praia Brava","-26.956","-48.644"
"","420820302A","Limoeiro","-27.036","-48.856"
"","420810401A","Escola Rural Belmont","-26.3014","-49.9066"
"","420800501A","Prefeitura Municipal","-27.27476","-52.34034"
"","420790801A","Centro","-26.23987","-50.80416"
"","420780901A","Centro","-27.02329","-51.8937"
"","420770001A","Prefeitura Municipal","-27.0757","-52.13426"
"","420750204A","Encano","-26.89003","-49.19313"
"","420750203A","Encano do Norte","-26.87525","-49.19488"
"","420750202A","Carijós","-26.88128","-49.23332"
"","420730402A","Centro","-28.23814","-48.66014"
"","420730401A","Imbituba01","-28.15302","-48.69196"
"","420710607A","Santo Antonio","-26.932","-48.776"
"","420710606A","Pedra de Amolar","-26.852","-48.771"
"","420710605A","Rua Inês Eufrásia de Jesus","-26.911","-48.815"
"","420710604A","Pocinho","-26.906","-48.86"
"","420710603A","Minas","-26.939","-48.845"
"","420710602A","Baú Baixo","-26.876","-48.84"
"","420710601A","Centro","-26.904","-48.83"
"","420700701A","Primeiro de Maio","-28.72264","-49.30026"
"","420670202A","Centro","-27.172553","-51.497377"
"","420650404A","Corticeras","-26.46237","-48.91975"
"","420650403A","Bananal","-26.47323","-48.95957"
"","420650402A","Jacu-açu","-26.5405","-49.0169"
"","420650401A","Nova Esperança","-26.475","-49.016"
"","420630603A","São Pedro","-27.0679","-48.96227"
"","420630602A","Lageado Baixo","-27.12835","-49.02327"
"","420630601A","Centro","-27.08188","-48.98972"
"","420610801A","Unidade Sanitária Central","-28.1883","-49.2137"
"","420600901A","Gov Celso Ramos 01","-27.36677","-48.56375"
"","420590210A","Belchior Baixo","-26.892","-49.009"
"","420590209A","Gaspar Grande","-26.953","-48.988"
"","420590208A","SAMAE ETA-V","-26.80265","-49.01268"
"","420590207A","Centro","-26.931","-48.957"
"","420590206A","Posto Grande","-26.914","-48.908"
"","420590205A","Margem Esquerda","-26.906","-48.935"
"","420590204A","Figueira","-26.915","-48.989"
"","420590203A","Arraial do Ouro","-26.831","-48.992"
"","420590202A","Bateias","-27","-48.91"
"","420580302A","Estrada Geral Quiriri","-26.11388","-49.00358"
"","420580301A","Centro","-26.0324","-48.85023"
"","420570403A","Areias de Palhocinha","-28.0529","-48.6479"
"","420570402A","Campo D Una","-28.102","-48.674"
"","420570401A","Estrada Geral Gamboa","-27.953","-48.629"
"","420560502A","Esperança","-26.45139","-52.68987"
"","420560501A","Escola Linha Santin","-26.43919","-52.68857"
"","420550602A","São Miguel","-27.049","-50.934"
"","420550601A","Salete","-27.03318","-50.93099"
"","420545601A","Centro","-28.75365","-49.47339"
"","420540708A","Rio Vermelho","-27.491","-48.418"
"","420540707A","Canasvieiras","-27.432","-48.458"
"","420540705A","Rodovia SC406","-27.754","-48.51"
"","420540704A","Agronômica","-27.582","-48.533"
